product_description,category,price,customer_age,is_member,treatment,outcome
"Generic alkaline AA batteries, standard pack of eight",electronics,4.25,49,0,1,13.52
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,42.3,50,1,1,60.15
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,10.78,33,1,0,18.43
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,48.45,26,1,0,45.43
"Clear plastic food storage container set, snap lid microwave safe",home,7.02,23,1,0,9.75
"Generic instant coffee, standard freeze-dried blend 200g jar",food,6.24,44,1,0,14.2
"Store brand orange juice from concentrate, standard carton",food,3.02,25,1,1,21.46
"Artisan smoked sea salt collection, applewood and hickory varieties",food,30.44,25,0,1,30.67
"Organic cold pressed green juice, turmeric ginger daily blend",food,14.62,66,1,1,39.67
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,220.24,61,0,0,250.99
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,47.89,64,0,1,69.04
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,65.16,44,1,1,83.23
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,104.43,25,1,0,123.21
"Clear stackable plastic storage bin, medium size with lid",home,6.35,37,0,0,13.48
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,3.85,23,1,1,16.24
"Standard aluminum foil roll, 30 feet household grade",home,2.43,49,1,1,18.37
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,14.17,53,0,1,26.42
"Store brand orange juice from concentrate, standard carton",food,2.78,58,1,1,19.88
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,47.2,61,1,1,63.37
"Disposable white paper cups, standard 8oz pack of 50",home,5.1,38,1,1,21.37
"White unprinted paper napkins, two ply bulk pack of 200",home,3.7,49,0,1,19.61
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.75,49,0,1,30.86
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,55.76,59,1,0,60.97
"Clear stackable plastic storage bin, medium size with lid",home,8.06,45,0,1,27.3
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,38.54,24,0,1,39.58
"Standard plastic measuring cup set, four piece nested",home,4.22,48,1,1,18.84
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.11,30,1,1,37.83
"Milk chocolate candy bar, standard size individually wrapped",food,2.1,55,0,1,15.65
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,42.91,38,1,0,34.22
"Disposable white paper cups, standard 8oz pack of 50",home,3.55,70,0,0,14.35
"Premium natural rubber yoga mat, non-slip cork surface",fitness,89.99,21,1,0,96.55
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.98,20,1,1,19.46
"Generic drawstring tall kitchen trash bags, 30 count roll",home,4.21,66,0,0,16.4
"Basic foam sole flip flops, solid color unisex design",clothing,5.02,31,1,1,20.55
"Milk chocolate candy bar, standard size individually wrapped",food,2.54,53,0,0,11.56
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,32.18,36,0,0,44.09
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,314.72,66,1,1,324.76
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,38.54,19,0,1,49.67
"Basic heat resistant silicone spatula, single piece design",home,4.48,35,0,1,17.41
"Unscented white tea light candles, paraffin bulk pack of 20",home,3.65,54,0,1,22.5
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.72,49,0,1,25.8
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.65,64,1,1,27.73
"Standard aluminum foil roll, 30 feet household grade",home,3.22,31,1,1,14.74
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,151.83,55,0,0,166.64
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,43.65,18,0,1,60.89
"Clear plastic food storage container set, snap lid microwave safe",home,8.09,52,1,1,23.43
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,32.7,54,0,0,23.65
"Basic heat resistant silicone spatula, single piece design",home,4.88,45,1,0,20.71
"Generic alkaline AA batteries, standard pack of eight",electronics,5.06,46,1,0,8.42
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,22.91,68,0,1,40.44
"Standard plastic clothes hangers, adult size pack of 10",home,3.47,33,1,1,28.13
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,16.94,60,0,1,32.65
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,122.81,52,1,0,138.62
"Milk chocolate candy bar, standard size individually wrapped",food,1.68,31,0,1,14.69
"White unprinted paper napkins, two ply bulk pack of 200",home,4.56,69,0,1,18.56
"Basic white cotton washcloth, standard size single pack",home,2.26,67,1,1,24.36
"Basic latex exercise band, light resistance single band",fitness,5.25,46,0,0,3.65
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,40.24,23,1,1,50.78
"Basic white cotton washcloth, standard size single pack",home,2.43,47,0,1,5.31
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.72,66,0,1,22.84
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.78,68,0,1,17.31
"Hand blown borosilicate glass vase, contemporary geometric design",home,107.07,47,0,0,123.51
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.66,33,0,0,1.2
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,99.78,22,1,1,121.43
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,32.58,63,0,0,39.83
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.67,29,0,1,31.86
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,147.15,42,0,0,158.44
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,81.22,23,1,0,88.15
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,45.26,31,1,0,55.99
"Generic alkaline AA batteries, standard pack of eight",electronics,5.55,44,1,1,27.37
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,25.46,39,0,1,41.86
"Artisan smoked sea salt collection, applewood and hickory varieties",food,30.04,18,0,1,42.2
"Natural Belgian linen tablecloth, hand-hemmed edges",home,89.08,45,1,0,87.86
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,59.47,34,0,1,79.75
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.8,55,0,1,13.54
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,96.42,40,0,0,91.07
"Premium natural rubber yoga mat, non-slip cork surface",fitness,82.45,34,1,1,104.57
"Budget wired earbuds, basic stereo sound with inline mic",electronics,6.6,59,0,0,8.14
"Store brand orange juice from concentrate, standard carton",food,3.87,51,1,1,11.29
"Basic white cotton washcloth, standard size single pack",home,2.4,41,0,1,14.15
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,96.74,60,0,1,111.62
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.6,41,1,0,6.22
"Clear stackable plastic storage bin, medium size with lid",home,6.19,54,0,0,17.8
"Artisan smoked sea salt collection, applewood and hickory varieties",food,20.33,33,0,0,21.45
"Store brand orange juice from concentrate, standard carton",food,2.95,54,0,0,8.47
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,12.55,24,1,0,27.54
"Hand blown borosilicate glass vase, contemporary geometric design",home,86.68,64,0,0,88.13
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,43.93,47,0,0,35.15
"Clear plastic shower curtain liner, standard size with rings",home,5.62,62,0,0,11.49
"Budget wired earbuds, basic stereo sound with inline mic",electronics,9.42,28,0,1,23.92
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,45.84,30,1,1,59.87
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,65.97,60,1,0,76.89
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,57.56,45,0,0,62.15
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,46.16,24,1,0,51.35
"Handwoven sustainable rattan storage basket, fair trade certified",home,44.97,57,0,0,55.98
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.17,18,1,1,21.18
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,160.43,29,0,0,155.59
"Clear plastic shower curtain liner, standard size with rings",home,5.5,25,1,1,19.33
"White unprinted paper napkins, two ply bulk pack of 200",home,4.17,34,1,1,23.33
"Natural Belgian linen tablecloth, hand-hemmed edges",home,89.52,29,1,0,92.97
"Disposable white paper cups, standard 8oz pack of 50",home,3.25,46,1,0,9.28
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.77,55,0,0,9.25
"Basic heat resistant silicone spatula, single piece design",home,5.16,38,1,0,8.08
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.27,48,0,1,14.47
"Basic white cotton washcloth, standard size single pack",home,2.43,58,0,1,16.81
"Basic latex exercise band, light resistance single band",fitness,5.59,49,0,1,27.14
"Milk chocolate candy bar, standard size individually wrapped",food,2.19,18,0,0,5.27
"Disposable white paper cups, standard 8oz pack of 50",home,4.16,69,0,1,11.72
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.11,39,1,1,15.21
"Handwoven sustainable rattan storage basket, fair trade certified",home,37.19,18,1,1,46.34
"Generic snap-on phone case, standard universal fit clear",electronics,6.27,21,1,1,18.67
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.9,41,0,1,16.4
"Budget wired earbuds, basic stereo sound with inline mic",electronics,9.52,50,1,1,17.57
"Clear stackable plastic storage bin, medium size with lid",home,8.12,36,1,1,22.21
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,106.17,36,1,0,108.73
"Basic heat resistant silicone spatula, single piece design",home,4.75,27,1,1,15.16
"Store brand orange juice from concentrate, standard carton",food,3.54,54,1,1,17.78
"Artisan sourdough loaf, stone baked with ancient grain flour",food,11.6,29,1,1,16.12
"Basic foam sole flip flops, solid color unisex design",clothing,4.17,37,1,1,12.3
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,330.03,59,0,0,311.65
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,105.64,48,0,0,103.01
"Clear plastic food storage container set, snap lid microwave safe",home,7.68,52,1,1,28.87
"Store brand orange juice from concentrate, standard carton",food,3.4,21,1,1,18.96
"Generic snap-on phone case, standard universal fit clear",electronics,5.14,51,1,0,8.5
"Generic alkaline AA batteries, standard pack of eight",electronics,5.77,55,1,1,23.75
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.67,23,0,1,9.6
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.8,21,0,1,24.24
"Disposable white paper cups, standard 8oz pack of 50",home,3.75,28,1,0,11.51
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.04,58,0,1,14.87
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,149.86,25,1,0,156.46
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,6.23,35,1,0,10.16
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.98,20,0,1,19.69
"Artisan raw wildflower honey collection, three regional varieties",food,29.63,31,0,1,35.24
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,108.78,69,1,0,118.7
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,122.82,54,0,1,120.11
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,40.95,24,1,1,46.85
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.62,19,1,1,26.75
"Hand blown borosilicate glass vase, contemporary geometric design",home,88.08,56,0,0,96.69
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,63.71,54,0,0,71.57
"Clear plastic shower curtain liner, standard size with rings",home,7.77,50,0,1,21.63
"Standard plastic measuring cup set, four piece nested",home,4.94,58,0,1,21.81
"Basic latex exercise band, light resistance single band",fitness,4.06,51,0,1,18.98
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.81,25,0,1,10.53
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,56.1,41,0,0,57.74
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,41.92,68,0,0,52.24
"Clear plastic food storage container set, snap lid microwave safe",home,8.83,38,1,1,26.64
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.79,60,1,1,29.77
"Clear stackable plastic storage bin, medium size with lid",home,5.66,60,1,0,16.05
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,13.47,54,1,1,36.09
"Generic instant coffee, standard freeze-dried blend 200g jar",food,4.87,70,1,1,11.24
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.59,47,1,1,22.2
"Organic cold pressed green juice, turmeric ginger daily blend",food,15.71,33,0,1,19.25
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,12.03,68,0,1,30.37
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,66.22,32,1,1,78.76
"Standard plastic measuring cup set, four piece nested",home,4.26,27,1,1,22.91
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,13.24,29,1,1,25.97
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,28.23,22,0,1,47.49
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,32.55,46,0,0,42.08
"Basic latex exercise band, light resistance single band",fitness,4.51,26,0,0,8.89
"Organic cold pressed green juice, turmeric ginger daily blend",food,17.01,43,1,1,32.14
"Clear plastic shower curtain liner, standard size with rings",home,7.77,32,0,1,21.47
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.89,65,1,0,17.75
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,15.2,42,1,1,28.17
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.47,51,1,1,15.79
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.47,28,0,0,11.35
"White unprinted paper napkins, two ply bulk pack of 200",home,3.21,23,1,0,10.86
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.6,41,0,1,21.09
"Basic latex exercise band, light resistance single band",fitness,4.73,22,1,0,8.55
"Hand blown borosilicate glass vase, contemporary geometric design",home,103.91,48,1,0,101.97
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,85.58,24,0,1,96.4
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,108.77,35,0,0,102.14
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,33.74,29,0,1,46.58
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,32.85,46,0,1,51.86
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,49.3,62,1,0,55.86
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,48.4,22,1,1,68.02
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.63,61,0,1,26.14
"Milk chocolate candy bar, standard size individually wrapped",food,1.65,62,0,0,5.88
"Standard plastic measuring cup set, four piece nested",home,6.5,22,0,0,6.27
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.45,29,0,1,18.32
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,35.01,19,0,1,42.32
"Disposable white paper cups, standard 8oz pack of 50",home,3.47,67,0,1,9.3
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,215.03,35,0,0,205.72
"Generic instant coffee, standard freeze-dried blend 200g jar",food,4.89,43,1,0,17.18
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.25,33,0,1,21.13
"Store brand orange juice from concentrate, standard carton",food,3.08,61,0,1,16.15
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,36.15,25,0,0,42.69
"Standard aluminum foil roll, 30 feet household grade",home,3.26,47,1,0,8.39
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,35.87,37,1,1,53.64
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,49.96,34,0,1,63.89
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,71.63,52,0,0,76.22
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,15.59,40,1,0,30.49
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.9,25,0,1,17.4
"Natural Belgian linen tablecloth, hand-hemmed edges",home,112.28,31,0,0,119.05
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,30.96,34,1,0,36.68
"Premium natural rubber yoga mat, non-slip cork surface",fitness,81.12,23,0,0,87.67
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.44,64,1,1,26.2
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.82,43,0,1,24.64
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,46.41,58,1,0,61.48
"Generic drawstring tall kitchen trash bags, 30 count roll",home,4.41,63,0,0,19.24
"Pre-sliced white sandwich bread, standard enriched loaf",food,1.87,70,1,1,24.12
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.41,36,1,1,21.04
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.7,26,0,0,18.83
"Standard aluminum foil roll, 30 feet household grade",home,3.84,24,0,0,12.36
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.48,57,0,1,17.7
"Milk chocolate candy bar, standard size individually wrapped",food,2.31,37,0,0,1
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,6.05,61,1,1,20.97
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,3.46,21,0,0,1
"Luxury hand-poured soy candle, wild fig and cassis scent",home,53.01,55,1,0,71.05
"Generic alkaline AA batteries, standard pack of eight",electronics,4.29,41,1,1,17.55
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,49.32,34,1,1,64.07
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,226.41,19,0,1,224.81
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,34.91,39,1,1,61.68
"Luxury hand-poured soy candle, wild fig and cassis scent",home,48.47,65,1,1,61.27
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,13.17,18,1,1,24.37
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,33.23,36,0,0,35.63
"Standard aluminum foil roll, 30 feet household grade",home,3.85,63,1,1,16.76
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,44.65,67,0,1,57.65
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,159.72,45,0,0,151.8
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,44.32,46,0,0,47.29
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.44,60,1,1,21.58
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.82,32,1,0,10.15
"Organic cold pressed green juice, turmeric ginger daily blend",food,14.75,40,0,1,17.53
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.54,58,0,1,25.84
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,96.9,68,1,1,121.66
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.89,55,0,1,22.53
